Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Asia,Western Asia,Cyprus,0.00,1.58,1.94,1.43,1.22,0.84,1.74,0.72,0.81,1.95,1.05,0.95,1.29
Asia,Western Asia,Georgia,6.60,6.59,9.01,7.29,7.52,6.06,4.89,4.40,,,,2.68,
Asia,Western Asia,Iraq,0.00,,34.07,29.85,66.13,,,,,,,,
Asia,Western Asia,Iraq (Central Iraq),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17.92,9.63,9.71,9.28,9.24,11.11,10.08,
Asia,Western Asia,Iraq (Kurdistan Region),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6.02,3.49,4.48,4.07,3.77,3.56,,
Asia,Western Asia,Israel,3.07,2.67,2.51,2.69,1.81,1.92,1.76,1.95,2.00,1.74,,1.49,1.36
Asia,Western Asia,Jordan,0.00,,1.26,1.81,1.94,2.00,1.63,1.78,2.09,2.30,2.00,,
Asia,Western Asia,Kuwait,0.00,,,,2.32,1.40,1.70,1.96,1.82,1.78,,,
Asia,Western Asia,Lebanon,0.00,,,,,4.45,3.47,3.76,3.66,3.94,4.46,4.28,3.95
Asia,Western Asia,Oman,0.00,,,,0.69,0.68,,,1.06,,,,
Asia,Western Asia,Qatar,0.00,,4.87,,,,,6.92,,,,,8.10
Asia,Western Asia,Saudi Arabia,0.00,,,,,,,,,,,0.92,1.50
Asia,Western Asia,State of Palestine,2.73,4.13,4.05,,,1.25,1.11,0.74,0.55,0.60,,,
Asia,Western Asia,Syrian Arab Republic,2.34,2.41,2.37,2.38,2.74,2.63,2.31,2.23,,,,,
Asia,Western Asia,Turkey,4.29,4.35,4.87,4.61,5.18,4.63,5.18,4.24,4.16,4.30,,,
Asia,Western Asia,United Arab Emirates,0.00,,,,,,,0.80,0.58,0.77,0.63,0.67,0.66
Asia,Western Asia,Yemen,3.63,3.24,4.61,4.24,3.92,3.92,4.31,4.66,5.67,6.49,6.67,,
Europe,Eastern Europe,Belarus,9.01,8.41,8.56,7.65,6.79,5.68,4.98,5.12,3.93,3.58,3.51,3.58,
Europe,Eastern Europe,Bulgaria,3.16,3.15,2.59,2.44,2.34,2.29,2.01,2.00,1.74,1.93,1.50,1.61,1.80
Europe,Eastern Europe,Czechia,1.60,1.31,1.06,1.27,1.22,1.10,0.90,0.98,0.82,1.00,0.93,0.65,0.75
Europe,Eastern Europe,Hungary,2.25,2.07,1.62,1.73,1.53,1.80,1.39,1.38,1.45,1.25,1.55,1.48,
Europe,Eastern Europe,Poland,1.72,1.65,1.44,1.27,1.36,1.19,1.28,1.13,1.16,0.98,0.77,0.73,0.74
Europe,Eastern Europe,Republic of Moldova,7.65,6.65,7.12,6.32,5.26,5.74,6.01,6.54,7.45,5.62,4.15,3.19,
Europe,Eastern Europe,Russian Federation,0.00,,,,,,,15.99,15.02,13.87,12.88,12.14,11.31
Europe,Eastern Europe,Slovakia,2.71,2.27,1.97,1.65,1.65,1.74,1.55,1.65,1.77,1.38,1.44,1.33,0.88
Europe,Eastern Europe,Ukraine,7.62,7.37,6.46,6.30,5.71,5.30,4.79,4.36,,,,,
Europe,Eastern Europe,Romania***,2.54,2.39,2.13,2.07,1.98,2.27,1.94,1.99,1.67,1.90,1.70,1.52,1.49
Europe,Northern Europe,Denmark,1.21,0.80,0.98,0.53,0.71,0.98,0.85,0.76,0.82,0.84,0.85,1.29,0.99
Europe,Northern Europe,Estonia,10.71,6.67,8.34,6.74,6.92,6.27,5.24,5.25,4.89,4.76,3.94,3.12,3.20
Europe,Northern Europe,Finland,1.98,2.83,2.27,2.26,2.44,2.50,2.25,2.22,2.04,1.62,1.65,1.62,1.60
Europe,Northern Europe,Iceland,0.00,1.02,1.01,0.00,0.65,0.00,0.32,0.63,0.93,0.31,0.31,0.31,0.91
Europe,Northern Europe,Ireland,1.11,0.73,1.24,1.44,1.78,1.12,1.23,1.15,0.90,1.16,1.11,1.11,0.64
Europe,Northern Europe,Latvia,8.83,8.02,5.66,5.82,4.33,4.62,5.10,3.35,3.34,4.76,3.43,3.87,4.11
Europe,Northern Europe,Lithuania,0.00,10.16,11.13,8.71,8.49,9.26,7.94,7.01,6.87,6.70,6.68,5.45,5.98
Europe,Northern Europe,Norway,1.12,0.78,0.71,0.71,0.64,0.71,0.60,0.59,2.24,0.54,0.90,0.56,
Europe,Northern Europe,Sweden,0.91,1.14,0.92,1.00,1.21,0.89,1.00,0.97,0.86,0.71,0.90,0.90,1.15
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,1.74,1.64,1.49,1.42,1.43,1.23,1.15,1.20,1.02,1.01,0.94,0.92,
Europe,Southern Europe,Albania,0.00,,5.00,3.11,3.49,3.13,2.90,4.38,4.92,5.45,4.30,4.05,2.28
Europe,Southern Europe,Andorra,0.00,1.28,,,0.00,1.17,1.17,1.18,1.21,0.00,0.00,0.00,0.00
Europe,Southern Europe,Bosnia and Herzegovina,0.00,,,,,,1.85,1.46,1.33,1.65,1.20,1.31,1.50
Europe,Southern Europe,Croatia,1.53,1.89,1.51,1.56,1.40,1.54,1.13,1.44,1.14,1.19,1.08,0.85,0.87
Europe,Southern Europe,Greece,1.11,1.00,1.19,0.99,1.17,1.29,1.36,1.57,1.65,1.49,1.38,0.97,0.85
Europe,Southern Europe,Italy,1.24,1.22,1.04,1.06,1.07,1.04,0.99,0.89,0.92,0.89,0.84,0.79,0.78
Europe,Southern Europe,Kosovo (in compliance with UN Security Council Resolution 1244/99),0.00,,,,,6.30,4.04,5.84,3.40,4.90,2.22,2.21,1.60
Europe,Southern Europe,Malta,0.00,1.77,1.01,0.00,0.99,1.48,0.98,0.97,0.72,2.89,1.68,1.44,0.96
Europe,Southern Europe,Montenegro,0.00,,,,1.94,3.87,3.38,2.41,3.37,2.72,1.60,3.20,2.72
Europe,Southern Europe,Portugal,1.43,1.38,1.27,1.47,1.75,1.17,1.23,1.17,1.08,1.16,1.38,0.88,0.97
Europe,Southern Europe,San Marino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Europe,Southern Europe,Serbia,1.90,1.78,1.60,1.70,1.87,1.54,1.69,1.44,1.50,1.24,1.57,1.33,1.13
Europe,Southern Europe,Slovenia,1.06,1.36,1.00,0.60,1.19,0.49,0.64,0.73,0.78,0.68,0.58,0.73,1.21
Europe,Southern Europe,Spain,1.38,1.20,1.18,1.07,1.07,0.89,0.89,0.86,0.82,0.78,0.65,0.70,0.66
Europe,Southern Europe,The former Yugoslav Republic of Macedonia,3.44,2.40,2.15,2.25,2.05,1.70,1.70,2.08,1.45,1.40,1.06,1.59,
Europe,Western Europe,Austria,0.61,0.72,0.66,0.74,0.54,0.70,0.61,0.69,0.89,0.93,0.71,0.49,0.51
Europe,Western Europe,France,1.63,1.63,1.59,1.43,1.60,1.64,1.31,1.26,1.35,1.23,1.22,1.24,1.58
Europe,Western Europe,Germany,1.05,1.07,1.07,1.00,0.94,0.90,1.00,0.99,0.92,0.82,0.85,0.89,0.85
Europe,Western Europe,Liechtenstein,0.00,2.89,0.00,0.00,0.00,2.81,0.00,2.77,0.00,0.00,0.00,2.68,0.00
Europe,Western Europe,Luxembourg,0.00,,,1.50,1.47,1.65,1.01,1.97,0.77,0.00,0.18,0.72,
Europe,Western Europe,Monaco,0.00,3.00,2.96,2.91,0.00,0.00,,,,,,,
Europe,Western Europe,Netherlands,1.25,1.18,1.07,0.78,0.87,0.91,0.93,0.87,0.86,0.87,0.74,0.73,0.61
Europe,Western Europe,Switzerland,1.00,1.06,1.01,0.80,0.67,0.71,0.66,0.66,0.58,0.56,0.70,0.50,0.69
Europe,Western Europe,Belgium***,2.21,2.55,2.09,2.08,1.97,1.88,1.74,1.73,1.94,1.85,1.84,1.85,1.95
Oceania,Melanesia,Fiji,0.00,,,,2.64,3.56,2.47,2.79,,2.97,,,
Oceania,Melanesia,New Caledonia,0.00,,,3.44,5.09,4.59,3.29,,,,,,
Oceania,Melanesia,Papua New Guinea,10.51,5.21,9.91,9.78,8.14,9.21,10.42,10.42,,,,,
Oceania,Melanesia,Solomon Islands,0.00,4.37,5.54,4.78,5.28,3.77,,,,,,,
Oceania,Melanesia,Vanuatu,0.00,,2.47,,,,,2.31,,,,,2.13
Oceania,Micronesia,Guam,5.07,5.69,4.42,6.94,0.63,0.63,3.15,1.88,2.49,,,,
Oceania,Micronesia,Kiribati,0.00,,,,,7.11,0.99,3.90,10.51,7.50,,,
Oceania,Micronesia,Marshall Islands,0.00,,,,,,,,,4.68,,,
Oceania,Micronesia,Micronesia (Federated States of),0.00,,4.58,,,,,4.49,,,,,4.67
Oceania,Micronesia,Nauru,0.00,,,,,,,,,1.31,,,
Oceania,Micronesia,Palau,0.00,,,,,,,,,3.11,,,
Oceania,Polynesia,Cook Islands,0.00,,,,,,,,,3.06,,,
Oceania,Polynesia,French Polynesia,0.00,,,1.16,2.69,3.42,0.38,,,,,,
Oceania,Polynesia,Niue,0.00,,,,,,,,,3.07,,,
Oceania,Polynesia,Samoa,0.00,,,,,,8.66,8.60,,,3.15,,
Oceania,Polynesia,Tonga,6.02,2.00,3.97,7.88,0.98,3.89,7.74,0.96,1.92,0.95,,,
Oceania,Polynesia,Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.18,10.16,20.28,,,
Oceania,Australia and New Zealand,Australia,1.73,1.51,1.28,1.36,1.22,1.22,1.21,1.04,1.10,1.06,1.05,1.03,0.98
Oceania,Australia and New Zealand,New Zealand****,1.09,1.10,1.48,1.17,1.13,1.19,1.55,0.98,0.89,0.92,1.03,0.91,
